town,date,accumulated_tested,accumulated_cases,lag7_accumulated_tested,lag7_accumulated_cases,town_code,n_2019,P,N,lag7_N,G,score
חיפה,2020-08-03,12486,753,11217,638,4000,285316,0.09062253743104808,4.030618682443325,6.028403594610887,0.6686046511627907,2.6001230036709035
חיפה,2020-08-04,12545,760,11336,656,4000,285316,0.08602150537634409,3.645081243253095,4.941888993256599,0.7375886524822696,2.695393359869003
חיפה,2020-08-05,12826,785,11457,682,4000,285316,0.07523739956172389,3.610032385144892,5.257328716230425,0.6866666666666666,2.54130880647079
חיפה,2020-08-06,12905,790,11900,715,4000,285316,0.07462686567164178,2.6286643581152127,5.397524148663237,0.487012987012987,1.536875249019807
חיפה,2020-08-07,12971,795,11962,721,4000,285316,0.07333994053518335,2.59361550000701,5.292377574338628,0.4900662251655629,1.5357908535787372
חיפה,2020-08-08,12991,800,11976,722,4000,285316,0.07684729064039408,2.733810932439821,4.661498128390977,0.5864661654135338,1.9480218899844954
חיפה,2020-08-09,13035,808,12003,724,4000,285316,0.08139534883720931,2.944104081089038,4.556351554066368,0.6461538461538462,2.216543669252606
חיפה,2020-08-10,13120,813,12486,753,4000,285316,0.0946372239747634,2.10293148649217,4.030618682443325,0.5217391304347827,1.4539868379658263
חיפה,2020-08-11,13238,822,12545,760,4000,285316,0.08946608946608947,2.173029202708576,3.645081243253095,0.5961538461538461,1.7527923730649693
חיפה,2020-08-12,13325,836,12826,785,4000,285316,0.10220440881763528,1.7874917635183447,3.610032385144892,0.4951456310679612,1.1877822278450894
חיפה,2020-08-13,13385,852,12905,790,4000,285316,0.12916666666666668,2.173029202708576,2.6286643581152127,0.8266666666666667,2.411560516425166
חיפה,2020-08-14,13441,860,12971,795,4000,285316,0.13829787234042554,2.278175777033184,2.59361550000701,0.8783783783783783,2.5813066123503035
חיפה,2020-08-15,13476,865,12991,800,4000,285316,0.13402061855670103,2.278175777033184,2.733810932439821,0.8333333333333333,2.4754844886564937
חיפה,2020-08-16,13825,885,13035,808,4000,285316,0.09746835443037975,2.6987620743316185,2.944104081089038,0.9166666666666667,2.830953967207401
חיפה,2020-08-17,14619,936,13120,813,4000,285316,0.08205470313542361,4.311009547308949,2.10293148649217,2.0500000000000003,4.907108534594158
חיפה,2020-08-18,14679,943,13238,822,4000,285316,0.08396946564885496,4.240911831092543,2.173029202708576,1.9516129032258063,4.7925868049353255
חיפה,2020-08-19,15266,970,13325,836,4000,285316,0.06903657908294693,4.69654698649918,1.7874917635183447,2.6274509803921564,5.487485461818629
חיפה,2020-08-20,15604,1002,13385,852,4000,285316,0.067598017124831,5.257328716230425,2.173029202708576,2.4193548387096775,5.4350746193683666
חיפה,2020-08-21,15679,1007,13441,860,4000,285316,0.06568364611260054,5.152182141905817,2.278175777033184,2.2615384615384615,5.279721431338189
חיפה,2020-08-22,15718,1015,13476,865,4000,285316,0.06690454950936664,5.257328716230425,2.278175777033184,2.307692307692308,5.3404821662153426
חיפה,2020-08-23,16704,1060,13825,885,4000,285316,0.06078499478985759,6.133550168935496,2.6987620743316185,2.2727272727272725,5.463332957441085
חיפה,2020-08-24,17266,1090,14619,936,4000,285316,0.05817907064601435,5.397524148663237,4.311009547308949,1.2520325203252034,4.142749235355983
חיפה,2020-08-25,18158,1147,14679,943,4000,285316,0.058637539522851397,7.149967054073379,4.240911831092543,1.6859504132231407,5.019096337808702
חיפה,2020-08-26,18688,1184,15266,970,4000,285316,0.06253652834599649,7.500455635155406,4.69654698649918,1.5970149253731343,4.95905326623616
חיפה,2020-08-27,19293,1233,15604,1002,4000,285316,0.06261859582542695,8.096286222994854,5.257328716230425,1.5399999999999998,4.962797622880226
חיפה,2020-08-28,19413,1260,15679,1007,4000,285316,0.06775575790037493,8.867361101375318,5.152182141905817,1.7210884353741498,5.276760517391813
חיפה,2020-08-29,19752,1286,15718,1015,4000,285316,0.06717897868120971,9.498240547322968,5.257328716230425,1.8066666666666666,5.4424710018109215
חיפה,2020-08-30,20158,1317,16704,1060,4000,285316,0.07440648523451071,9.007556533808128,6.133550168935496,1.4685714285714284,4.975944872522123
ירושלים,2020-03-31,2506,311,1213,65,3000,936425,0.1902552204176334,2.627012307445871,0.5339455909442827,4.92,6.176246159234364
ירושלים,2020-04-01,2858,424,1307,70,3000,936425,0.22823984526112184,3.780334783885522,0.5553034145820541,6.8076923076923075,7.1944489426374725
ירושלים,2020-04-02,3544,614,1442,94,3000,936425,0.24738344433872503,5.553034145820541,0.7475238273219958,7.428571428571429,7.755934540911405
ירושלים,2020-04-03,4033,739,1548,101,3000,936425,0.2567404426559356,6.813145740449048,0.7688816509597672,8.86111111111111,8.314290827075617
ירושלים,2020-04-04,4380,850,1727,143,3000,936425,0.26649076517150394,7.549990655952158,1.142643564620765,6.607476635514018,7.831261334153708
ירושלים,2020-04-05,4791,938,1882,163,3000,936425,0.26641457545548297,8.276156659636383,1.2814694182662787,6.458333333333333,7.877423084169249
ירושלים,2020-04-06,5170,1017,2251,250,3000,936425,0.262761219595752,8.190725365085298,2.03967215740716,4.015706806282722,6.916274360199342
ירושלים,2020-04-07,5767,1124,2506,311,3000,936425,0.24931002759889603,8.681955308754038,2.627012307445871,3.304878048780488,6.583209669969932
ירושלים,2020-04-08,6101,1198,2858,424,3000,936425,0.23866790009250693,8.265477747817497,3.780334783885522,2.1864406779661016,5.70647094175456
ירושלים,2020-04-09,6610,1291,3544,614,3000,936425,0.220808871493803,7.2296233013855895,5.553034145820541,1.3019230769230772,4.533472964263968
ירושלים,2020-04-10,7497,1428,4033,739,3000,936425,0.19890300230946883,7.357770243212216,6.813145740449048,1.079937304075235,4.174425781381443
ירושלים,2020-04-11,8160,1573,4380,850,3000,936425,0.19126984126984126,7.720853245054329,7.549990655952158,1.0226308345120227,4.112590724583243
ירושלים,2020-04-12,9254,1742,4791,938,3000,936425,0.18014788259018596,8.585845102384067,8.276156659636383,1.0374193548387096,4.246105893895342
