סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
97        ,מרחביה )מושב(            ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,780       ,44        ,149       ,276       ,103       ,91        ,117
98        ,כפר מל"ל                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,380       ,29        ,67        ,117       ,50        ,34        ,83
99        ,מצפה רמון                ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,5592      ,602       ,1152      ,2215      ,517       ,429       ,677
102       ,מאיר שפיה                ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,164       ,8         ,40        ,68        ,12        ,12        ,24
103       ,תל עדשים                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1337      ,90        ,384       ,426       ,226       ,107       ,104
104       ,מזרע                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,979       ,91        ,155       ,312       ,98        ,95        ,228
106       ,כפר גדעון                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,319       ,38        ,95        ,109       ,24        ,18        ,35
107       ,כפר סילבר                ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,147       ,11        ,29        ,68        ,18        ,13        ,8
112       ,כפר חסידים א'            ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,794       ,79        ,189       ,236       ,86        ,61        ,143
113       ,אדירים                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,334       ,30        ,71        ,112       ,47        ,30        ,44
115       ,חופית                    ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1017      ,61        ,189       ,303       ,162       ,94        ,208
122       ,רמת ישי                  ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,8074      ,562       ,1663      ,2815      ,1035      ,771       ,1228
126       ,שריד                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1157      ,62        ,270       ,315       ,161       ,81        ,268
127       ,רמת רחל                  ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,562       ,54        ,123       ,181       ,73        ,50        ,81
128       ,גת רימון                 ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,289       ,25        ,56        ,92        ,39        ,19        ,58
130       ,משמר העמק                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1412      ,111       ,221       ,472       ,196       ,133       ,279
132       ,כפר ברוך                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,643       ,70        ,198       ,189       ,85        ,22        ,79
133       ,גבת                      ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1019      ,86        ,229       ,287       ,147       ,57        ,213
134       ,יפעת                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1248      ,81        ,297       ,375       ,191       ,81        ,223
135       ,רמת דוד                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,655       ,59        ,174       ,206       ,85        ,31        ,100
139       ,עין שמר                  ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,808       ,50        ,139       ,268       ,91        ,59        ,201
140       ,כפר יהושע                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1251      ,87        ,311       ,389       ,197       ,116       ,151
141       ,ברק                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,400       ,28        ,66        ,146       ,44        ,41        ,75
142       ,שדה יעקב                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1116      ,119       ,345       ,354       ,125       ,59        ,114
143       ,בית זרע                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,797       ,48        ,110       ,296       ,92        ,59        ,192
144       ,גן שלמה                  ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,627       ,63        ,141       ,193       ,78        ,46        ,106
145       ,גדיש                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,380       ,35        ,60        ,124       ,56        ,53        ,52
146       ,דבורה                    ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,310       ,24        ,64        ,91        ,34        ,33        ,64
147       ,גבעת ברנר                ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,2769      ,157       ,633       ,793       ,495       ,201       ,490
154       ,תל מונד                  ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,14426     ,946       ,3660      ,4784      ,2442      ,1224      ,1370
155       ,באר טוביה                ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1281      ,93        ,364       ,399       ,178       ,91        ,156
156       ,עיינות                   ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,174       ,18        ,22        ,106       ,15        ,5         ,8
157       ,עין ורד                  ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1674      ,102       ,437       ,511       ,292       ,117       ,215
158       ,נען                      ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1944      ,171       ,407       ,673       ,238       ,102       ,353
159       ,בית חנן                  ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,673       ,37        ,125       ,210       ,95        ,68        ,138
160       ,חולדה                    ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1149      ,107       ,384       ,308       ,188       ,50        ,112
162       ,חירות                    ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1370      ,68        ,372       ,384       ,252       ,140       ,154
163       ,תימורים                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,834       ,41        ,156       ,296       ,107       ,117       ,117
164       ,מלאה                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,399       ,35        ,87        ,143       ,49        ,35        ,50
165       ,ניר יפה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,701       ,45        ,217       ,236       ,81        ,31        ,91
166       ,גן יבנה                  ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,24413     ,1548      ,6060      ,8676      ,3757      ,2228      ,2144
167       ,עין החורש                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,950       ,67        ,179       ,290       ,113       ,71        ,230
168       ,כפר יונה                 ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,26123     ,2397      ,6158      ,9393      ,3333      ,2020      ,2822
170       ,כפר יעבץ                 ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,740       ,63        ,188       ,257       ,89        ,63        ,80
171       ,פרדסיה                   ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,7456      ,623       ,1459      ,2711      ,853       ,815       ,995
173       ,גבעת חיים )מאוחד(        ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1210      ,67        ,237       ,374       ,178       ,78        ,276
174       ,נטעים                    ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,797       ,47        ,176       ,254       ,140       ,82        ,98
175       ,אביחיל                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1399      ,82        ,323       ,425       ,170       ,131       ,268
176       ,אפיקים                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,1414      ,72        ,231       ,451       ,195       ,102       ,363
177       ,כפר ביל"ו                ,44        ,רחובות                   ,44        ,רחובות                   ,30        ,גזר                      ,1189      ,89        ,221       ,388       ,159       ,135       ,197
178       ,רמת יוחנן                ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1193      ,113       ,205       ,447       ,139       ,93        ,196
182       ,אבן יהודה                ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,14900     ,967       ,3690      ,4617      ,2275      ,1160      ,2191
183       ,ירקונה                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,404       ,16        ,74        ,130       ,76        ,43        ,65
184       ,רמת הכובש                ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1051      ,76        ,238       ,301       ,145       ,51        ,240
186       ,נעורים                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,232       ,19        ,25        ,106       ,26        ,24        ,32
187       ,כפר הס                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1500      ,97        ,332       ,490       ,260       ,157       ,164
188       ,אשדות יעקב  )מאוחד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,765       ,48        ,157       ,243       ,108       ,58        ,151
189       ,כפר פינס                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,675       ,85        ,201       ,218       ,48        ,34        ,89
190       ,כפר ויתקין               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1941      ,113       ,424       ,621       ,329       ,200       ,254
191       ,הדר עם                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,817       ,53        ,240       ,229       ,139       ,60        ,96
192       ,כפר החורש                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,742       ,85        ,164       ,246       ,70        ,60        ,117
193       ,כפר חיים                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,603       ,42        ,136       ,166       ,97        ,51        ,111
194       ,משמר השרון               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,796       ,68        ,164       ,262       ,84        ,68        ,150
195       ,קדימה-צורן               ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,22967     ,1641      ,5611      ,7766      ,3444      ,2387      ,2118
196       ,גיבתון                   ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,402       ,31        ,91        ,115       ,55        ,23        ,87
197       ,מעברות                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1071      ,92        ,190       ,326       ,117       ,93        ,253
198       ,צופית                    ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1131      ,44        ,284       ,315       ,216       ,97        ,175
199       ,אשדות יעקב  )איחוד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,1031      ,68        ,277       ,328       ,139       ,67        ,152
200       ,בית ינאי                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,402       ,21        ,80        ,103       ,72        ,40        ,86
202       ,בית עובד                 ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,340       ,18        ,71        ,93        ,54        ,24        ,80
204       ,אלישיב                   ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,712       ,43        ,186       ,233       ,91        ,50        ,109
205       ,חגלה                     ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,803       ,50        ,240       ,215       ,164       ,56        ,78
206       ,רמות השבים               ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1630      ,105       ,337       ,510       ,227       ,167       ,284
207       ,גבעת ח"ן                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,409       ,27        ,86        ,120       ,45        ,41        ,90
208       ,מוצא עילית               ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,1243      ,76        ,206       ,358       ,170       ,124       ,309
212       ,בית צבי                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,113       ,18        ,28        ,57        ,3         ,3         ,4
213       ,משמרות                   ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1163      ,91        ,409       ,341       ,185       ,44        ,93
217       ,כפר הרא"ה                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,1256      ,127       ,370       ,391       ,139       ,68        ,161
218       ,גני עם                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,259       ,9         ,36        ,71        ,41        ,37        ,65
219       ,חיבת ציון                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,783       ,90        ,195       ,260       ,87        ,48        ,103
220       ,כפר ביאליק               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,660       ,52        ,148       ,206       ,77        ,48        ,129
223       ,עין עירון                ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,569       ,51        ,109       ,206       ,73        ,59        ,71
224       ,שושנת העמקים             ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,586       ,42        ,88        ,215       ,73        ,58        ,110
225       ,גן השומרון               ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,869       ,57        ,183       ,283       ,118       ,84        ,144
229       ,גני תקווה                ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,0         ,                         ,22896     ,2015      ,5241      ,7190      ,2922      ,1745      ,3783
230       ,מעש                      ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,949       ,85        ,190       ,284       ,124       ,70        ,196
232       ,שפיים                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1477      ,115       ,317       ,484       ,209       ,103       ,249
233       ,כפר ידידיה               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,728       ,43        ,192       ,198       ,134       ,40        ,121
234       ,ביצרון                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1232      ,91        ,294       ,403       ,173       ,92        ,179
235       ,חבצלת השרון              ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,478       ,24        ,94        ,119       ,73        ,46        ,122
237       ,שער העמקים               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,776       ,70        ,136       ,226       ,101       ,62        ,181
239       ,גן חיים                  ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,724       ,42        ,145       ,235       ,101       ,87        ,114
240       ,יקנעם עילית              ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,25979     ,1911      ,5418      ,9355      ,3775      ,2227      ,3293
241       ,יקנעם )מושבה(            ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1435      ,113       ,307       ,457       ,180       ,92        ,286
242       ,בית השיטה                ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1524      ,85        ,347       ,453       ,207       ,119       ,313
246       ,נתיבות                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,42253     ,6015      ,11274     ,16019     ,3397      ,2473      ,3075
247       ,רשפון                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1323      ,95        ,315       ,416       ,205       ,113       ,179
248       ,בית שערים                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,749       ,65        ,186       ,223       ,106       ,43        ,126
249       ,כפר סירקין               ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,1483      ,107       ,388       ,448       ,228       ,111       ,201
250       ,הזורע                    ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1277      ,74        ,184       ,409       ,157       ,104       ,349
252       ,ביתן אהרן                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,272       ,10        ,37        ,61        ,18        ,16        ,130
253       ,חולתה                    ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,700       ,72        ,164       ,235       ,69        ,51        ,109
254       ,כפר המכבי                ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,448       ,35        ,91        ,139       ,49        ,40        ,94
255       ,כפר חיטים                ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,721       ,34        ,168       ,251       ,107       ,77        ,84
256       ,ניר דוד )תל עמל(         ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,889       ,56        ,197       ,276       ,111       ,80        ,169
257       ,נופך                     ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,593       ,67        ,120       ,227       ,58        ,56        ,65
259       ,שדה נחום                 ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,945       ,78        ,263       ,319       ,153       ,56        ,76
262       ,גינוסר                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,733       ,36        ,126       ,228       ,86        ,54        ,203
263       ,מסדה                     ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,358       ,30        ,51        ,137       ,39        ,31        ,70
